Data Source,Measurable,Goal,07/14,07/21,07/28,08/04,08/11,08/18,08/25,09/01
,PreCon,,,,,,,,,
Mgmt,Revenue Goal,"$150,000,000",,,,,,,,
Omnna,Revenue YTD,"$74,502,692","$74,987,920",,,,,,,
Airtable,Expected Revenue Fiscal 2025,"$80,000,000",,,,,,,,
,"$150M Annual Rev Goal ""Go-Get""","-$4,502,692","-$154,987,920","-$80,000,000","-$80,000,000","-$80,000,000","-$80,000,000","-$80,000,000","-$80,000,000","-$80,000,000"
Airtable,Opportunity Pipeline $'s - Residential,"$8,076,923","$12,969,320",,,,,,,
Airtable,Opportunity Pipeline $'s - Commercial,"$4,720,280","$151,963,626",,,,,,,
Airtable,Sales - Residential,"$2,423,077","$3,618,482",,,,,,,
Airtable,Sales - Commercial,"$1,038,462","$118,637",,,,,,,
,,,,,,,,,,
,Estimating,,,,,,,,,
Airtable,$ Residential Estimated,"$8,076,923","$177,580",,,,,,,
Airtable,$ Commercial Estimated,"$4,720,280","$483,477",,,,,,,
,,,,,,,,,,
,Administation,,,,,,,,,
,Weeks Remaining FY,24,23,22,21,20,19,18,17,16
Omnna,$ SO Created,"$3,145,721","$3,761,488",,,,,,,
Omnna,$ PO Created,"$2,673,863","$1,015,094",,,,,,,
Omnna,$ Received,"$2,500,000","$2,277,871",,,,,,,
Omnna,$ Invoiced,"$3,145,721","$1,772,288",,,,,,,
,,,,,,,,,,
,Field,,,,,,,,,
Omnna,GP $ Goal Residential,"$444,231","$129,813",,,,,,,
Omnna,Residential Material Cost Goal,"$928,846","$950,039",,,,,,,
Omnna,Residential Labor Cost Goal,"$646,154","$686,387",,,,,,,
Omnna,GP $ Goal Commercial,"$233,654","-$71,358",,,,,,,
Omnna,Commercial Material Cost Goal,"$159,035","$19,498",,,,,,,
Omnna,Commercial Labor Cost Goal,"$143,077","$53,805",,,,,,,
Omnna,Commercial Equipment Cost Goal,"$43,269","$4,105",,,,,,,
